feature,importance
DaysSinceOverhaul,0.8197477477813466
Vibration_mean_rolling_14d,0.023608907553504404
AgeYears,0.021169918767536457
Temperature_mean_rolling_14d,0.020611871253344512
Pressure_mean_rolling_14d,0.015449468657936173
Vibration_mean_rolling_7d,0.011006935179948765
Temperature_mean_rolling_7d,0.009130952468591635
Pressure_mean_rolling_7d,0.00853598884082747
MachineType_encoded,0.006562610722634368
Vibration_min,0.005382701292069718
Vibration_mean,0.00531142669811509
Pressure_max,0.005212294682673677
Temperature_mean,0.0050718847977228075
Temperature_max,0.005007792024567779
Vibration_max,0.0049204325838073295
Pressure_mean,0.004867138708666306
Temperature_min,0.0048268173626353295
RuntimeHours_mean,0.004729328282495234
RuntimeHours_max,0.004726571933632109
Pressure_min,0.004415793653410208
Pressure_std,0.004218553351711889
Temperature_std,0.0028409809205172856
Vibration_std,0.002643882482304618
